t,x,y,z,roll,pitch,yaw
0.000000000000000000e+00,-5.921727166120523481e-03,1.914769724101583193e-01,5.666387153509593322e-01,-1.764645235141432806e+02,1.012601489340532179e+00,3.928570004390180004e-01
1.282119750976562500e-02,-5.921727166120523481e-03,1.914769724101583193e-01,5.666387153509593322e-01,-1.764645235141432806e+02,1.012601489340532179e+00,3.928570004390180004e-01
3.314542770385742188e-02,-6.348992800267050027e-03,1.917389620097588732e-01,5.666497572116702131e-01,-1.764419604927875014e+02,1.056399647781680384e+00,3.932922440943229514e-01
5.186676979064941406e-02,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
7.098531723022460938e-02,-5.852650862135445539e-03,1.914774452322942910e-01,5.666375076222531781e-01,-1.764645472111183722e+02,9.906639846714301312e-01,3.915014079699741245e-01
9.023785591125488281e-02,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
1.092073917388916016e-01,-5.921727166120523481e-03,1.914769724101583193e-01,5.666387153509593322e-01,-1.764645235141432806e+02,1.012601489340532179e+00,3.928570004390180004e-01
1.248297691345214844e-01,-6.089153041464847975e-03,1.917389620009956885e-01,5.666473715020791113e-01,-1.764421113877391463e+02,1.034420830280127435e+00,3.932895717748801090e-01
1.446723937988281250e-01,-6.020077205946166785e-03,1.917394353362785742e-01,5.666461374669319317e-01,-1.764421357543334068e+02,1.012483857461206949e+00,3.919253878519695089e-01
1.613395214080810547e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
1.798090934753417969e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
1.994278430938720703e-01,-6.112327480607535404e-03,1.917372813271440712e-01,5.666480897653856097e-01,-1.764424192072566200e+02,1.012492661746127398e+00,3.914497130042786655e-01
2.200708389282226562e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
2.342686653137207031e-01,-5.918916839033411953e-03,1.914789619605769544e-01,5.666387860580172076e-01,-1.764642927312535221e+02,1.013059254244887741e+00,3.708877235141854745e-01
2.529575824737548828e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
2.713649272918701172e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
2.870333194732666016e-01,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
3.053054809570312500e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
3.249852657318115234e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
3.437130451202392578e-01,-5.921960380928493160e-03,1.918057345759224264e-01,5.666513001371673575e-01,-1.764205640244415747e+02,1.012412255901421254e+00,3.934297079516885787e-01
3.633589744567871094e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
3.833265304565429688e-01,-5.921727166120523481e-03,1.914769724101583193e-01,5.666387153509593322e-01,-1.764645235141432806e+02,1.012601489340532179e+00,3.928570004390180004e-01
4.030086994171142578e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
4.235143661499023438e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
4.422774314880371094e-01,-6.181403319864262058e-03,1.917368085654018728e-01,5.666493238111516284e-01,-1.764423948423913941e+02,1.034429641312595960e+00,3.928137883869699531e-01
4.633476734161376953e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
4.819431304931640625e-01,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
